id,creationdate,score,viewcount,title,answercount,commentcount,favoritecount,quest_name,quest_rep,ans_name,ans_rep
"332289","2008-12-01 21:24:44","3184","5962784","How do I change the size of figures drawn with Matplotlib?","14","1","0","tatwright","37837","",""
"2051744","2010-01-12 19:31:47","420","587728","How to invert the x or y axis","10","3","0","DarkAnt","4211","Demitri","13369"
"2225995","2010-02-09 00:51:38","51","59922","How can I create stacked line graph?","4","0","0","David Underhill","15936","doug","69290"
"5486226","2011-03-30 12:26:50","7","6393","Rolling median in python","5","4","0","yueerhu","175","Mike Pennington","42288"
"5515021","2011-04-01 14:50:44","10","13744","Compute a compounded return series in Python","3","6","0","Jason Strimpel","14916","Mike Pennington","42288"
"5558607","2011-04-05 21:13:50","2","8161","Sort a pandas DataMatrix in ascending order","2","0","0","Jason Strimpel","14916","Wes McKinney","102497"
"6467832","2011-06-24 12:31:45","16","27538","How to get the correlation between two timeseries using Pandas","2","0","0","user814005","413","Wes McKinney","102497"
"6541123","2011-06-30 21:09:11","550","832218","Improve subplot size/spacing with many subplots","9","1","0","mcstrother","7007","Joe Kington","277446"
"7577546","2011-09-28 01:58:38","12","4019","Using pandas, how do I subsample a large DataFrame by group in an efficient manner?","1","0","0","Uri Laserson","2411","HYRY","95369"
"7766400","2011-10-14 10:33:54","3","1339","Pandas + Django + mod_wsgi + virtualenv","1","2","0","Evan Davey","430","",""
"7776679","2011-10-15 08:21:17","28","31844","append two data frame with pandas","3","7","0","Jean-Pat","1849","Wes McKinney","102497"
"7813132","2011-10-18 20:16:12","11","29155","Convert array of string (category) to array of int from a pandas dataframe","4","0","0","Jean-Pat","1849","Wes McKinney","102497"
"7837722","2011-10-20 14:46:14","401","658113","What is the most efficient way to loop through dataframes with pandas?","13","6","0","Muppet","5837","Nick Crawford","5106"
"7908636","2011-10-26 20:38:14","244","261054","How to add hovering annotations to a plot","13","1","0","jdmcbr","6064","ImportanceOfBeingErnest","326212"
"8270129","2011-11-25 13:55:02","1","930","Pandas Panel for share portfolio","1","0","","Evan Davey","430","Wes McKinney","102497"
"8273092","2011-11-25 18:39:02","1","2506","python: pandas install errors","2","0","","codingknob","11248","codingknob","11248"
"8451327","2011-12-09 20:27:24","2","5109","Python map() function output into Pandas DataFrame","1","0","0","briant57","21","",""
"8842114","2012-01-12 20:52:41","8","5263","How to apply slicing on pandas Series of strings","3","2","0","davidbrai","1229","Rob Wouters","15937"
"8914992","2012-01-18 18:00:16","4","1051","indexing several csv files with pandas from records?","1","1","0","","","Wes McKinney","102497"
"8916302","2012-01-18 19:41:27","42","40970","selecting across multiple columns with pandas","3","0","0","","","Wes McKinney","102497"
"8957175","2012-01-21 22:12:10","1","1308","DataFrame to Panel indexed by nonunique column with Pandas","1","3","","Jessica Collins","220","Wes McKinney","102497"
"8991709","2012-01-24 17:59:53","167","21091","Why were pandas merges in python faster than data.table merges in R in 2012?","4","17","0","Zach","29931","Matt Dowle","59062"
"9189425","2012-02-08 07:42:11","2","2678","Pandas DataFrame serialization","1","0","","rezusr","63","Wes McKinney","102497"
"9283166","2012-02-14 19:42:19","3","12444","Plotting a stock chart","2","1","0","Ben McCann","18638","Appleman1234","15956"
